headphones;width;height;fov;fps;stereopsis;antialiasing;textures;lightMode;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;locomotion;ambientSound;reverbZone;spatialSound;time;totalImmersion
0;770.0844;427.8246;94;26;0;1;1;0;0.8754814;0.4571607;-0.1017264;0.273831;0.1549246;0;0;0;1;3;1;1;1;468;40
0;325.6056;180.892;62;30;1;0;0;0;-0.009500623;0.7480919;0.0175088;0.5595093;0.09266901;0;0;0;0;3;0;0;0;627;17
0;1932.546;1073.637;71;26;1;0;0;1;0.3201866;0.1076356;0.1598121;0.03561556;0.6732789;0;1;0;1;2;0;1;0;1138;38
0;1931.337;1072.965;55;36;1;1;0;0;-0.1951531;-0.5546282;-0.7739683;0.2579792;0.6825213;1;0;1;0;2;0;0;1;786;32
0;1490.418;828.0099;83;48;0;1;1;0;0.9106929;0.167946;0.68239;0.4038427;0.3442933;1;1;1;0;1;0;1;1;906;39
0;1987.274;1104.041;30;19;0;0;1;1;0.2455868;0.05097991;-0.7692854;0.6759069;0.4516161;0;1;0;1;2;0;1;0;1056;45
0;1930.997;1072.776;81;19;1;0;0;1;0.6152081;-0.5306093;0.7090099;0.168228;0.8815628;0;1;1;1;2;0;0;1;658;31
1;1576.82;876.0112;72;42;0;1;1;0;-0.1445702;0.2998047;0.6108107;0.9775391;0.4930788;1;0;1;1;3;0;0;1;709;63
1;1175.912;653.2847;57;27;1;0;1;1;0.637969;0.1204387;0.2255323;0.01644433;0.3934948;0;1;0;0;2;1;0;1;1035;50
1;1677.237;931.7982;44;33;1;0;0;0;-0.0254885;-0.03969795;0.5633022;0.7504361;0.1463491;1;1;0;0;2;0;1;1;891;29
1;1140.075;633.3751;52;33;1;1;1;1;-0.7451019;-0.6008373;0.256928;0.2616178;0.7712559;0;1;0;1;1;1;0;0;956;76
1;288.586;160.3256;53;33;0;0;1;0;-0.6616924;0.4031496;0.3143541;0.6216682;0.6849375;1;0;1;0;3;1;1;0;1130;39
1;709.9167;394.3982;90;35;1;1;0;1;0.3115279;-0.5749771;-0.5731413;0.273977;0.63788;0;1;0;1;3;0;0;1;679;47
1;633.1784;351.7658;49;20;0;1;1;0;0.7281084;-0.05709809;-0.1063369;0.2339045;0.775599;0;1;1;0;1;0;0;1;488;33
1;1469.087;816.1593;48;56;1;0;1;1;0.479655;0.1359874;-0.1193233;0.9308029;0.04309809;1;0;0;1;2;1;0;1;946;56
1;296.3705;164.6503;89;44;1;0;1;0;-0.9023538;-0.6880438;0.1529447;0.02354789;0.8320276;0;0;0;1;2;1;1;1;1151;33
1;1483.611;824.2281;40;16;0;0;1;1;0.889576;0.7973863;-0.5080431;0.240456;0.9790076;1;0;0;1;2;1;1;1;765;30
1;535.0789;297.2661;61;47;1;1;0;0;0.3027568;0.6995974;0.004017711;0.5079177;0.5378867;1;0;0;1;3;0;1;1;1074;39
1;1003.861;557.7007;67;60;0;0;1;0;-0.3853189;0.1010814;-0.304203;0.4206669;0.6750157;0;0;1;1;2;1;0;1;1065;59
1;693.2665;385.1481;54;42;0;0;1;1;0.3482539;-0.1561435;0.1511025;0.6681771;0.2193085;0;1;1;1;2;0;0;0;685;41
1;959.244;532.9133;81;41;1;0;1;0;0.7839301;-0.5312924;-0.5508377;0.2135589;0.4810049;1;0;0;0;2;0;1;1;607;56
1;1027.298;570.721;53;52;0;1;0;1;-0.5948429;0.1264571;0.5873438;0.1726741;0.7763516;0;1;0;1;2;0;1;1;775;29
1;980.6035;544.7797;91;15;0;1;1;1;-0.1084555;-0.09959364;0.6312655;0.6826793;0.2634156;0;1;1;0;1;0;0;0;952;40
1;2136.205;1186.78;88;53;0;0;1;1;-0.4386619;0.1980966;0.2114683;0.1065279;0.2554695;0;1;1;1;1;0;0;0;1034;38
1;926.7499;514.8611;32;25;0;1;1;1;-0.4002994;0.5648062;0.5459627;0.4016734;0.3699577;0;1;1;0;2;1;1;0;878;50
1;546.8264;303.7924;72;18;1;1;0;1;-0.2179853;0.7127419;0.08246738;0.3594678;0.14755;0;1;0;0;1;1;0;0;1041;9
